Country / Region	Type	Company / Agency	Company Description	Contact Person	Email Sent To	Email / Contact	Phone / WhatsApp	Role Applied For	Status	Date Email Sent	Date Applied	Follow-up Date	Reply Status	Confidence	Needs Manual Review	Recommended Action	Source	Notes	URLs	Last Gmail Thread ID	Last Gmail Message ID
UAE / Dubai	Direct Employer	Emirates Group	Unclassified lead			careers@emirates.com; https://www.emiratesgroupcareers.com/; mansoor@emirates.net.ae			To Contact					Medium	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot | verify before outreach. 20. info@inspireselection.com | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Emirates NBD				careers@emiratesnbd.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Etisalat				careers@etisalat.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Etisalat (e&)				careers@etisalat.ae; https://careers.etisalat.ae/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	EVOQ (Real Estate)				WhatsApp: +971523321256			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Excellent Webworld	Software / app development company			murad@excellentwebworld.com			To Contact					High	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8701.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / Global | Category: Software / app development company | Source: IMG_8701.HEIC | Official site lists UAE office plus global locations.	https://excellentwebworld.com; excellentwebworld.com; https://www.excellentwebworld.com/contact-us/		
UAE / Dubai	Direct Employer	Excellentwebworld	Job lead / direct employer			murad@excellentwebworld.com	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	EY UAE				careers@ae.ey.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Fetchr	Company career-link lead			https://fetchr.us/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://fetchr.us/careers; fetchr.us/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Flydubai				careers@flydubai.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Flyin	Company career-link lead			https://flyin.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8704.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8704.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://flyin.com/careers; flyin.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Foodics	Company career-link lead			https://foodics.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://foodics.com/careers; foodics.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	G42	Company career-link lead			https://g42.ai/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8705.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8705.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://g42.ai/careers; g42.ai/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Gmail contact lead	Unclassified lead			gmgmedical09@gmail.com	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Google	Unclassified lead			careers@google.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	Google UAE				careers@google.com			To Contact					Low	Yes	Monitor careers	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Hays	Unclassified lead			clientmiddleeast@hays.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8334.HEIC	OCR raw safety-net row from screenshot; verify before outreach. 20. info@inspireselection.com | | 21. dxbjobs@tascoutsourcing.com | 22. request@tascoutsourcing.com | 23. info@tascoutsourcing.com			
UAE / Dubai	Direct Employer	Hilton Hotels UAE				uajobs@hilton.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	HSBC UAE				careersuae@hsbc.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	HTP Global Technologies	Technology company			hr@myhtptech.com			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8701.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / Dubai | Category: Technology company | Source: IMG_8701.HEIC | Crunchbase result places HTP Global Technologies in Dubai | verify official careers page before outreach.	https://myhtptech.com; myhtptech.com; https://www.crunchbase.com/organization/htp-global-technologies		
UAE / Dubai	Direct Employer	Huspy	Company career-link lead			https://huspy.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://huspy.com/careers; huspy.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Ikonsult	Job lead / direct employer			hiring@ikonsult.in	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Jumeirah Group				careers@jumeirah.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Khansaheb	Unclassified lead			careers@khansaheb.ae			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Kitopi	Company career-link lead			https://kitopi.com/careers			To Contact					Medium	No	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8702.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8702.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://kitopi.com/careers; kitopi.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	KPMG UAE				careers@kpmg.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Larsentoubro	Unclassified lead			infodesk@larsentoubro.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8045.HEIC	OCR raw safety-net row from screenshot; verify before outreach. | ELECTRICAL | ENGINEERING | 1. Siemens UAE - careers@siemens.com | 2. ABB Middle East — careers@abb.com | I | | 8 3. Schneider Electric - careers@se.com | i £8			
UAE / Dubai	Direct Employer	Latinumhr	Job lead / direct employer			jobs@latinumhr.com	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Lean Technologies	Company career-link lead			https://leantech.me/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://leantech.me/careers; leantech.me/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Lifepharmafze	Unclassified lead			careers@lifepharmafze.com	+971565580898; +971561123978 5		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8700.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Email IDs of MARKETING SECTOR in Dubai == | gmgmedical09@gmail.com | careers@lifepharmafze.com 0 | 1 hr@aljadaalmushriqa.ae F |			
UAE / Dubai	Direct Employer	Majid Al Futtaim				https://careers.majidalfuttaim.com/			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Mamo Pay	Company career-link lead			https://mamopay.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://mamopay.com/careers; mamopay.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Mangopay MENA	Company career-link lead			https://mangopay.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://mangopay.com/careers; mangopay.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	Marriott International UAE				careers@marriott.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Mashreq Bank				careers@mashreqbank.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Mediclinic Middle East				recruitment@mediclinic.ae			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Microsoft	Unclassified lead			careers@microsoft.com			To Contact					Medium	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot; verify before outreach. il | | | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	Microsoft Gulf				careers@microsoft.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Myhtptech	Job lead / direct employer			hr@myhtptech.com	Whatsapp: 4971509562357; Whatsapp: 0522516435; Whatsapp: 0567606658		To Contact					High	Yes	Verify OCR email/domain before outreach	Raw OCR: IMG_8701.HEIC	OCR raw safety-net row from screenshot; verify before outreach. Here is the list of IT SECTOR COMPANIES that are | HIRING: | careers@ontimeuae.ae | REKHA.Y@PARAMINFO.COM			
UAE / Dubai	Direct Employer	Nakheel				careers@nakheel.com			To Contact					Unknown	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1				
UAE / Dubai	Direct Employer	Noon	Unclassified lead			talent@noon.com; careers@noon.com			To Contact					Medium	Yes	Run company careers/LinkedIn check	Original tracker: Job Application Data Extraction; Original tracker: Sheet1; Raw OCR: IMG_8044.HEIC	OCR raw safety-net row from screenshot | verify before outreach. il | oes | \ TECH | SOFTWARE | DIGITAL | yr 1. Google UAE - careers@google.com a | 2. Microsoft Gulf — careers@microsoft.com JR			
UAE / Dubai	Direct Employer	Now Money	Company career-link lead			https://nowmoney.me/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://nowmoney.me/careers; nowmoney.me/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
UAE / Dubai	Direct Employer	NymCard	Company career-link lead			https://nymcard.com/careers			To Contact					Low	Yes	Run company careers/LinkedIn check	Current Master Job Tracker; Screenshot proposal: uae-dubai-proposed.csv; IMG_8703.HEIC; Screenshot proposal: proposed-tracker-rows-from-unknown.csv	Country/Region: UAE / GCC / MENA | Category: Company career-link lead | Source: IMG_8703.HEIC | Move from Unknown into UAE/GCC direct-employer research queue.	https://nymcard.com/careers; nymcard.com/careers; OCR career-link list from screenshot; web/source verification still needed before applying.		
