Company / Lead,Email(s),Type,Status,Date Sent,Subject,Gmail Message ID,Tracker Match,Recommended Action,Source / Owner,Notes
Antal,info@antal.com,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for digital / product roles,19e89d28a4d760b1,Tracker says Applied but missing Gmail ID in visible local row,Add Gmail ID if syncing tracker,Mohd sent manually,
Al Vakil,"jobs@alvakil.net; adminmumbai@alvakil.net",Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE / GCC roles,19e89d20d8adcac1,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Al Thawiya,enquiry@al-thawiya.com,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital roles,19e89d1b128adb5c,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Al Nahiya,"enquiries@alnahiya.com; info@alnahiya.com",Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital roles,19e89d146678c6a2,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Al Mansoor Group,info@almansoorgroup.com,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital roles,19e89d0ead50a17f,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Duplicate earlier send exists same day
Adecco,adeccoae.info@adecco.com,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital / tech roles,19e89d089904515a,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Duplicate earlier send exists same day
ASRS,Info@asrs.ae,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital roles,19e89d0228492b70,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Duplicate earlier send exists same day
AKRS,info@akrs.ae,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital roles,19e89cfc2a56acd0,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Duplicate earlier send exists same day
ADMS UAE,info@admsuae.com,Agency,Sent by Mohd,2026-06-02,Updated CV - Product Designer for UAE digital roles,19e89cf5ce9cc34b,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,Duplicate earlier send exists same day
Ziina,"anton.badashov@ziina.com; jocelyn.meyer@ziina.com",Direct Employer / Fintech,Sent by Mohd,2026-06-02,Senior Product Designer - wallet/payment UX,19e898b575624043,Present in tracker as Applied but Gmail ID missing in visible local row,Add Gmail ID if syncing tracker,Mohd sent manually,
Property Finder,careers@propertyfinder.ae,Direct Employer / PropTech,Sent by Mohd,2026-06-02,Product Designer - Mohd Hayaat Ali,19e896596bf0a734,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Marc Ellis,prathiksha.b@marc-ellis.com,Agency,Sent by Mohd,2026-06-02,Application for Senior Product Designer UI/UX Dubai,19e883ad26c6ee7c,Present in tracker as Applied,No action unless follow-up due,Mohd sent manually,
Emergent AI,disha@emergent.sh,Direct Employer / AI,Sent by Mohd,2026-06-01,Request for an Opportunity to Prove Myself,19e82fd92df63aab,Not clearly present in visible tracker rows,Add to user-sent/manual leads and decide follow-up,Mohd sent manually,
Mallika Referral,workwithmallikaa@gmail.com,Networking / Reference,Sent by Mohd,2026-05-30,help me,19e75a2a3017cc83,Present as Networking in tracker,No action unless you want follow-up,Mohd sent manually,Not an application; advice/networking
Microsoft via TWSOL,srividya.p@twsol.com,Recruiter / Direct Role,Sent by Mohd,2026-05-29,Re: Job Description & Acknowledgement Mail - Microsoft - Content Designer,19e73286608d4c83,Not clearly reflected as active process in visible tracker rows,Add/update as replied/active process if live tracker lacks it,Mohd sent manually,Follow-up sent after recruiter said manager would connect
Muhammed Mujitaba,muhammedmujitaba@zohomail.com,Remote recruiter lead,Sent by Mohd,2026-05-29,Re: Application for Remote UI/UX Designer,19e7325080494982,Present in tracker as Needs Review/Replied,Do not pay for resume optimization; only continue if real role shared,Mohd sent manually,
Priyanka Referral,workwithitspgiri@gmail.com,Networking / Referral,Sent by Mohd,2026-05-25,Need Referral been 2 years nkw,19e5e48a479bc250,Present as Networking in tracker,No action unless you want follow-up,Mohd sent manually,
BYPT / Healthcare UX,recruitment.bypt@gmail.com,Direct Employer / Healthcare,Sent by Mohd,2026-05-24,Application for UX Designer - Healthcare Domain,19e5b0731165b973,Not clearly present in visible tracker rows,Add to user-sent/manual leads and decide follow-up,Mohd sent manually,
Moksha lead,mokshaparmar4@gmail.com,Direct Employer / Product Design,Sent by Mohd,2026-04-13,Application for UI/UX Product Designer,19d86485572020e2,Not clearly present in visible tracker rows,Add to historical user-sent leads; likely low priority unless active,Mohd sent manually,
