"proposed_tab","country_or_region","lead_name","category","email","phone","website_or_domain","source_screenshot","verification_source","confidence","notes"
"Direct Employers","UAE / GCC / MENA","G42","Company career-link lead","","","g42.ai/careers","IMG_8705.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Huspy","Company career-link lead","","","huspy.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Kitopi","Company career-link lead","","","kitopi.com/careers","IMG_8702.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Lean Technologies","Company career-link lead","","","leantech.me/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Mamo Pay","Company career-link lead","","","mamopay.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Mangopay MENA","Company career-link lead","","","mangopay.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Now Money","Company career-link lead","","","nowmoney.me/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","NymCard","Company career-link lead","","","nymcard.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Presight AI","Company career-link lead","","","presight.ai/careers","IMG_8705.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Pyypl","Company career-link lead","","","pyypl.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Sarwa","Company career-link lead","","","sarwa.co/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Spotii","Company career-link lead","","","spotii.me/careers","IMG_8704.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Stake","Company career-link lead","","","getstake.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Swvl","Company career-link lead","","","swvl.com/careers","IMG_8702.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Tabby","Company career-link lead","","","tabby.ai/careers","IMG_8704.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Tamara","Company career-link lead","","","tamara.co/careers","IMG_8704.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Trukker / Tenderd","Company career-link lead","","","tenderd.com/careers","IMG_8702.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Wio Bank","Company career-link lead","","","wio.io/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Medium","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Yallacompare","Company career-link lead","","","yallacompare.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","YAP","Company career-link lead","","","yap.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
"Direct Employers","UAE / GCC / MENA","Ziina","Company career-link lead","","","ziina.com/careers","IMG_8703.HEIC","OCR career-link list from screenshot; web/source verification still needed before applying.","Low","Move from Unknown into UAE/GCC direct-employer research queue."
