proposed_tab,country_or_region,lead_name,category,email,phone,website_or_domain,source_screenshot,verification_source,confidence,notes
Direct Employers,India,LearnTube.ai,Direct employer / hybrid roles,shronit@learntube.ai; gargi@learntube.ai,,learntube.ai,IMG_8836.HEIC,OCR: IMG_8836.txt,High,Mumbai roles with hybrid work structure.
Direct Employers,India,Little Green Studio,Creative / design studio,hr@littlegreenstudio.in,,littlegreenstudio.in,IMG_7871.HEIC,https://in.linkedin.com/company/little-green-studio,High,Indian domain and LinkedIn hiring post.
Direct Employers,India,Lovedwell,Lifestyle/design studio,info@lovedwell.com,,lovedwell.com,IMG_8482.HEIC,https://lovedwell.com/pages/contact,High,"Official contact page says Simbuno India Pvt. Ltd., Noida."
Direct Employers,India,Merck,Direct employer / careers link,,,careers.merckgroup.com,IMG_7186.HEIC,OCR: IMG_7186.txt,High,Bangalore / India careers link surfaced in the post.
Direct Employers,India,Museo Camera,Museum / design or creative role,contact@museocamera.org,,museocamera.org,IMG_9156.HEIC,https://www.museocamera.org/working-at-museo-camera,High,"Official page lists Gurugram, Haryana."
Direct Employers,India,Nikah Forever,Direct employer,career@nikahforever.com,WhatsApp: +91-8448293814,nikahforever.com,IMG_7919.HEIC,https://nikahforever.com/home/contact_us,High,India lead; keep WhatsApp in row but not phone-only.
Direct Employers,India,Onething Design,UI/UX design agency hiring designers,people@onething.design,,onething.design,IMG_7193.HEIC,https://www.onething.design/careers,High,Design roles; route outside Dubai under India.
Direct Employers,India,RAD LVNG,Consumer brand / creative role,talent@radlvng.com,,radlvng.com,IMG_9323.HEIC,https://radlvng.com/ ; https://radlvng.com/pages/about-us,High,"Official site lists Rad Brands Pvt. Ltd., Noida, India."
Direct Employers,India,ShaperCult,Direct employer / designer role,kajal@shapercult.com,,shapercult.com,IMG_7975.HEIC,OCR: IMG_7975.txt,High,"Senior Visual Designer role in Gurugram, Haryana."
Direct Employers,India,Social Watch,Digital marketing / creative agency,hr@socialwatch.io,,socialwatch.io,IMG_8730.HEIC,https://socialwatch.io/careers/,High,"Official careers page lists Mohali, Punjab, India."
Direct Employers,India,Studio Murb,Design / marketing studio,hey@studiomurb.com,,studiomurb.com,IMG_8843.HEIC,https://www.studiomurb.com/,Medium,Official site has hiring email; India inferred from web presence and projects.
Direct Employers,India,The Art Curry,Creative / internship roles,hellu@theartcurry.in,,theartcurry.in,IMG_7157.HEIC,OCR: IMG_7157.txt,High,"Delhi NCR only; social media intern, design intern, photographer/videographer."
Direct Employers,India,The Ombre,Photography / creative studio,careers@theombre.com,,theombre.com,IMG_8936.HEIC,https://theombre.com/contact,High,"Official contact page says Delhi NCR, India."
Direct Employers,India,WebVeda,Education / content-course company,divyam.chutani@webveda.com,,webveda.com,IMG_9315.HEIC,https://webveda.com/contactus ; https://in.linkedin.com/company/webveda,High,"Official contact page/LinkedIn place WebVeda in Faridabad, India."
Phone / WhatsApp Leads,India,Freelance Video Editor lead,Phone-only creative job lead,,9511116204,,IMG_8494.HEIC,OCR screenshot only,Low,Only a phone number was captured; keep out of email tables.
Phone / WhatsApp Leads,India / needs verification,BSD / Amlanjyoti UX UI lead,Phone plus malformed email,amlanjyotibharali@bsd.ed,6000236346; 9620045916,bsd.edu.in,IMG_9183.HEIC,https://in.linkedin.com/in/amlanjyoti-bharali ; https://www.bsd.edu.in/,Low,OCR email appears malformed; verify image before outreach.
Phone / WhatsApp Leads,India / needs verification,Reslink lead,Phone plus domain mismatch,team@reslink.org,91-8303982425,reslink.org,IMG_8744.HEIC,"Search found reslink.io, not reslink.org; verify manually.",Low,Do not merge with reslink.io without visual/web confirmation.
Direct Employers,India / Remote,OneGraphite,Direct employer / remote product design,krunal@onegraphite.in,,onegraphite.in,IMG_8724.HEIC,OCR: IMG_8724.txt,High,Remote UX/Product Designer role.
Direct Employers,India / Remote,Remote design application form,Job application form / design lead,,,https://docs.google.com/forms/d/e/TFAIpQLSeBy7r7b48Yrqz4Ap6-2g_07BuhljPhcj-5_3CIsRAkYrQtiA/viewform,IMG_5129.PNG,OCR: IMG_5129.txt,High,NCR preferable; remote option available for strong candidates.
Agencies,India / UAE remote,iKonsult Recruitment Solutions,Recruitment agency,hiring@ikonsult.in,,ikonsult.in,IMG_8701.HEIC,https://in.linkedin.com/company/ikonsultrecruitment,High,LinkedIn post mentions remote India/UAE roles.
Direct Employers,Jordan / MENA,Sitech,IT services / product design company,alaa@sitech.me,,sitech.me,IMG_9321.HEIC,https://www.linkedin.com/company/sitechinc,High,"LinkedIn places Sitech in Amman, Jordan."
Agencies,Netherlands,Adams Multilingual,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Airswift,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Blue Lynx,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Hays,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Michael Page,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Octagon Professionals,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Randstad,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Ravecruitment,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Agencies,Netherlands,Undutchables,Recruiter / sponsor list,,,,IMG_8718.HEIC,OCR: IMG_8718.txt,High,Amsterdam sponsor-list lead; no contact captured.
Direct Employers,Remote / Global,Holy Studio,Remote creative studio,hi@holystudio.co,,holystudio.co,IMG_8359.HEIC,OCR: IMG_8359.txt,High,Remote-friendly mid-level designer role.
Direct Employers,Remote / Global,Style Elevated,Remote design / strategy role,hello@style-elevated.com,,style-elevated.com,IMG_9180.HEIC,OCR: IMG_9180.txt,High,Remote role; similar time zone to EST preferred.
Direct Employers,Remote / Global,UI/UX Designer (Remote - Global),Remote product design role,muhammedmujitaba@zohomail.com,,,IMG_9213.HEIC,OCR: IMG_9213.txt,High,Product design / technology / SaaS; global remote role.
Needs Email Research,Remote / Global,Remote job resource list,Remote platform / resource list,,,thinkremote.org; rev.com; crowdgen.com; studypool.com; study.com,IMG_8717.HEIC,OCR: IMG_8717.txt,Low,Reference list only; no direct employer contact captured.
Direct Employers,Remote / unclear country,Walks of Dubai,Remote job lead,hr@walksofdubai.com,,walksofdubai.com,IMG_8071.HEIC,OCR: IMG_8071.txt,Medium,"Remote post; Dubai-branded domain, but no country is explicit in OCR."
Direct Employers,Spain,Roberto Castano,Photography / creative role,thephotographer@robertocastano.com,,robertocastano.com,IMG_8475.HEIC,https://www.behance.net/robertocastano,Medium,"Behance lists Ibiza, Spain; OCR also duplicated uppercase email."
Direct Employers,United Kingdom,ARK Schools,Visa-sponsored employer list,,,,IMG_8733.HEIC,OCR: IMG_8733.txt,High,Croydon; Teaching Assistant / early education support roles.
Direct Employers,United Kingdom,Capgemini,Visa-sponsored employer list,,,,IMG_8733.HEIC,OCR: IMG_8733.txt,High,"Manchester, Glasgow, Birmingham, Bristol; Software Engineer | Data Analyst | Consulting | Digital Transformation."
Direct Employers,United Kingdom,Lloyds Banking Group,Visa-sponsored employer list,,,,IMG_8733.HEIC,OCR: IMG_8733.txt,High,"Leeds, Manchester, Bristol, Edinburgh; Tech & Data | Software Engineering | Finance | Risk & Analytics."
Direct Employers,United Kingdom,Medivet,Visa-sponsored employer list,,,,IMG_8733.HEIC,OCR: IMG_8733.txt,High,"Birmingham, Manchester, Leeds, Nottingham, Bristol, Cambridge; Veterinary Surgeon / clinical roles."
Direct Employers,United Kingdom,MSQUIRE IT Services Ltd,Visa-sponsored employer list,,,,IMG_8733.HEIC,OCR: IMG_8733.txt,High,Reading; Business Analyst | Data Analyst | Tech Consulting.
Needs Email Research,Unknown / likely not a job lead,Shivani main account,Gmail contact / weak evidence,shivanimainacc@gmail.com,,,IMG_9218.HEIC,OCR suggests meme/non-job context.,Low,Probably skip unless the screenshot visually confirms a real job lead.
Needs Email Research,Unknown / possible India,Neeraj / portfolio hiring lead,Gmail contact,neerajiwtwrs@gmail.com,,,IMG_8949.HEIC,No reliable domain source found; Gmail only.,Low,"Keep for manual review, not Dubai."
Needs Email Research,Unknown / possible Indonesia,Sukhakala,Gmail contact,sukhakala.id@gmail.com,,,IMG_9185.HEIC,No reliable source found; .id in name is not enough for country assignment.,Low,Manual verification required.
